age,monthly_income,loan_amount,repayment_period,transaction_volume_mtd,avg_mpesa_balance,utility_payment_timeliness,has_previous_loan,gender,region,default
21,97892,43608,7,46,669,on-time,1,F,Nyeri,0
19,21806,13931,60,144,5212,late,0,M,Kisumu,1
23,93635,2359,60,88,1455,on-time,1,M,Nyeri,1
59,42034,25532,14,138,8156,late,0,M,Mombasa,1
21,45317,21344,30,57,9884,on-time,0,F,Eldoret,0
46,60468,5242,30,102,930,late,1,F,Nairobi,1
35,24094,21601,30,46,5231,early,1,F,Nyeri,1
43,62796,20116,7,34,5502,on-time,0,M,Nairobi,0
51,15589,36477,14,13,9163,on-time,1,M,Eldoret,1
27,62221,31782,14,38,934,on-time,1,M,Nairobi,1
53,6657,46559,14,92,5052,early,0,F,Nyeri,1
31,44531,19880,7,149,1069,early,0,M,Kisumu,0
48,57227,4499,14,54,692,on-time,1,M,Mombasa,0
32,8164,32587,60,80,354,on-time,0,F,Mombasa,1
25,98078,45458,14,50,2761,on-time,1,M,Nairobi,0
31,88973,27020,14,50,8894,on-time,1,F,Mombasa,0
40,46247,9080,14,130,9357,on-time,1,F,Mombasa,0
57,24601,24207,7,21,1939,late,0,M,Kisumu,1
38,98966,34957,60,70,6005,on-time,1,M,Nairobi,0
33,55599,14908,60,108,2531,on-time,0,F,Kisumu,0
35,76545,31652,30,9,7856,on-time,1,M,Kisumu,0
41,9552,31344,30,127,5453,late,1,F,Eldoret,1
43,14417,26034,60,129,1065,late,0,M,Nairobi,1
42,63579,26788,14,116,1837,early,1,M,Kisumu,1
58,73207,13751,14,20,584,late,1,F,Nyeri,1
46,77055,48482,14,85,8041,on-time,1,F,Mombasa,1
32,83270,34793,7,95,8302,on-time,1,M,Nairobi,1
18,8722,33839,14,139,6351,on-time,0,M,Eldoret,1
42,75442,39314,7,140,2127,on-time,1,F,Kisumu,1
24,45031,36453,60,76,5313,on-time,0,M,Nyeri,1
26,84235,10385,14,100,8090,on-time,1,M,Mombasa,0
41,26438,19232,14,115,6327,on-time,1,M,Mombasa,1
18,63819,44344,30,86,7081,on-time,1,F,Nyeri,1
25,48856,35790,60,42,8896,on-time,0,M,Nairobi,1
41,38576,16831,14,58,1068,early,1,M,Mombasa,0
28,46938,21125,7,80,536,early,1,M,Mombasa,0
34,54028,46708,60,19,1909,on-time,0,F,Mombasa,1
25,64807,18682,30,120,6646,late,1,F,Kisumu,1
52,54877,37870,60,13,8207,on-time,0,M,Kisumu,1
52,48461,18288,7,12,5605,on-time,0,F,Mombasa,0
50,98474,36794,30,114,5357,on-time,0,F,Eldoret,0
22,45469,40477,7,55,5009,on-time,0,M,Mombasa,1
59,88136,25405,60,35,8584,late,1,M,Nairobi,1
56,25435,39737,30,106,561,on-time,0,F,Eldoret,1
58,89117,3620,7,7,3333,on-time,1,M,Nairobi,0
45,19191,36414,60,103,5302,on-time,0,M,Nyeri,1
24,89726,38633,7,87,3039,late,1,M,Nyeri,1
26,32386,36057,14,47,188,early,1,M,Kisumu,1
25,36721,41138,60,33,1763,on-time,1,F,Kisumu,1
29,59786,14854,30,14,3401,on-time,1,F,Kisumu,1
51,18704,10677,30,144,5237,on-time,1,M,Nyeri,1
50,61635,45111,14,50,6129,early,1,M,Nairobi,1
40,7123,25074,7,34,521,on-time,0,F,Eldoret,1
41,95710,18824,7,98,3849,on-time,1,M,Kisumu,0
54,67993,1765,30,36,5071,late,1,M,Nyeri,1
52,85122,46439,7,51,6945,on-time,0,M,Kisumu,1
57,30416,32615,60,92,4533,early,1,F,Mombasa,1
39,6814,49926,60,67,365,on-time,1,M,Eldoret,1
44,83537,37860,30,135,2950,on-time,1,M,Nairobi,1
52,55258,13975,60,27,1478,on-time,1,M,Kisumu,0
18,21508,10341,30,78,6603,on-time,1,M,Mombasa,1
52,90166,29141,7,54,7257,early,1,M,Mombasa,0
54,83916,13334,7,128,4516,on-time,0,F,Eldoret,0
31,40699,49845,7,17,949,on-time,0,M,Nyeri,1
20,51335,16835,14,130,4914,late,0,F,Nyeri,1
18,51806,27548,30,33,9283,on-time,0,F,Kisumu,1
22,82853,36434,60,125,3864,early,0,M,Kisumu,0
43,68768,26039,7,94,7479,on-time,1,M,Nyeri,0
31,40739,33530,14,137,3374,late,0,M,Nairobi,1
56,39785,39736,60,82,816,late,1,M,Nairobi,1
44,36980,41409,60,113,5180,late,1,M,Mombasa,1
26,94335,19565,60,18,995,on-time,1,M,Eldoret,0
32,99702,10834,7,140,9468,on-time,1,M,Nairobi,1
32,90016,37656,60,52,9751,on-time,0,M,Kisumu,0
43,6609,1840,30,145,2643,early,0,M,Nairobi,0
59,71253,14873,14,28,7871,early,1,M,Eldoret,0
30,90481,32568,60,83,4737,on-time,1,F,Kisumu,0
49,96128,11846,60,55,8166,on-time,1,M,Eldoret,1
56,33141,6899,30,7,3653,late,1,M,Nyeri,1
49,35009,21502,60,132,1449,early,0,M,Eldoret,1
21,11782,1565,7,123,3086,late,0,F,Eldoret,1
47,97072,39773,7,62,7296,on-time,1,F,Eldoret,0
54,30933,42924,7,129,2222,on-time,0,F,Kisumu,1
40,82154,44242,60,117,8789,on-time,1,M,Eldoret,1
56,13307,10187,14,59,8146,on-time,1,F,Eldoret,1
32,97207,8226,14,123,9013,on-time,0,M,Mombasa,0
46,80874,43147,60,124,1463,on-time,1,M,Kisumu,1
53,43346,39658,14,84,407,on-time,1,F,Eldoret,1
30,55772,46881,14,46,2851,late,1,M,Nairobi,1
49,77084,5311,60,25,9175,on-time,0,F,Eldoret,0
24,45149,45214,7,14,7882,on-time,1,F,Nairobi,1
39,91700,42616,60,61,1364,on-time,0,F,Nyeri,0
45,32526,26689,7,60,5439,late,1,M,Nyeri,1
19,90712,7083,7,42,7603,on-time,1,M,Kisumu,0
59,73477,13598,14,90,5948,late,0,M,Kisumu,1
23,10695,17940,14,117,9344,on-time,0,M,Nyeri,1
45,44169,27880,7,116,593,on-time,0,F,Kisumu,1
45,52947,3580,7,58,2121,early,1,M,Nairobi,0
37,52224,47612,14,50,1847,on-time,0,F,Nairobi,1
47,50865,43321,30,8,5187,on-time,1,M,Mombasa,1
28,30553,10386,7,66,3402,early,0,F,Kisumu,0
45,65410,20522,7,128,7227,on-time,1,F,Kisumu,0
42,95895,27224,7,132,5122,late,1,M,Mombasa,1
56,29816,15635,14,116,6255,on-time,1,F,Eldoret,1
50,60026,1671,60,89,9223,early,1,M,Nairobi,0
18,55705,34545,7,8,6509,on-time,0,M,Eldoret,1
44,66922,27855,7,69,5354,early,1,F,Mombasa,0
30,78914,36790,7,66,9048,on-time,1,M,Kisumu,0
58,6881,47585,60,94,9346,on-time,1,F,Eldoret,1
20,44567,15260,60,124,4454,on-time,1,M,Kisumu,0
56,52365,2074,7,134,3553,on-time,1,F,Mombasa,0
23,84211,43676,7,141,2616,early,1,F,Nyeri,1
25,75122,10475,30,49,6169,late,1,M,Kisumu,1
44,30006,13878,60,116,7474,late,0,M,Eldoret,1
26,46198,16120,30,46,8938,early,1,F,Eldoret,0
54,27831,24147,7,45,5308,late,1,M,Mombasa,1
50,21459,2986,7,93,294,on-time,1,F,Eldoret,0
59,37443,44593,7,46,9437,on-time,1,M,Nairobi,1
41,47316,33430,7,39,4391,on-time,1,F,Kisumu,1
32,69486,42961,14,71,6310,on-time,0,M,Nairobi,1
49,10877,18430,14,45,5230,late,1,F,Mombasa,1
49,44553,3176,14,103,421,on-time,1,M,Nairobi,0
41,9922,19722,30,54,6805,early,0,M,Nairobi,1
58,9686,43815,60,108,1802,on-time,1,F,Kisumu,1
29,37766,19617,7,90,930,on-time,0,F,Kisumu,1
56,84943,28115,60,83,8480,late,0,F,Nyeri,1
19,37006,38376,14,49,5706,on-time,1,F,Nairobi,1
20,36422,12906,7,110,191,on-time,1,F,Kisumu,1
54,17205,41002,7,149,3977,on-time,1,F,Nairobi,1
34,91590,7610,30,126,2436,on-time,1,M,Nairobi,1
19,28527,44292,60,81,7776,early,1,M,Mombasa,1
19,23443,14411,30,60,1680,on-time,1,F,Mombasa,1
45,21524,10180,14,116,9700,early,0,M,Nairobi,0
40,33202,48993,60,97,8466,late,1,F,Mombasa,1
54,70552,11073,14,45,5892,on-time,1,M,Kisumu,0
49,51142,38251,30,10,7846,late,1,F,Nairobi,1
50,66692,31960,30,102,573,late,0,F,Mombasa,1
18,87384,6901,7,77,369,late,1,M,Kisumu,1
36,25855,39897,60,45,6650,early,1,F,Nairobi,1
19,88747,44183,60,13,793,late,1,M,Nairobi,1
43,65372,5482,7,12,1515,on-time,0,M,Mombasa,0
49,30095,43454,60,108,2183,on-time,0,M,Kisumu,1
23,43724,26428,14,17,1335,early,0,M,Nairobi,1
49,54241,8400,14,23,4067,early,1,M,Nairobi,0
21,57003,40574,30,102,8425,late,1,M,Nyeri,1
28,73379,44284,14,100,4885,on-time,0,M,Nairobi,1
34,99837,8396,60,53,6225,early,0,M,Nyeri,0
55,96996,8338,7,104,6734,on-time,0,M,Nyeri,0
41,99283,43718,30,86,6068,late,1,M,Kisumu,1
22,20972,13500,7,70,940,on-time,0,F,Eldoret,1
51,98846,12545,30,95,5183,late,1,M,Nyeri,1
23,27927,6241,30,63,1561,on-time,0,M,Kisumu,0
39,71630,24778,7,57,5034,on-time,1,F,Mombasa,1
28,57347,23821,14,56,3572,on-time,1,F,Nyeri,0
33,93860,5695,14,85,7263,on-time,0,F,Eldoret,0
50,91210,12530,14,19,6675,on-time,1,F,Mombasa,0
26,74518,48080,14,125,4943,on-time,1,M,Nyeri,1
23,50283,15318,7,9,7839,on-time,1,M,Nyeri,0
33,86326,23331,60,139,2609,on-time,1,M,Eldoret,0
46,17205,27355,30,22,9257,on-time,0,F,Nairobi,1
20,94874,12324,7,60,6122,on-time,1,F,Eldoret,1
37,17748,29149,14,79,2138,early,1,M,Kisumu,1
53,26097,4218,14,100,1950,early,1,F,Kisumu,0
36,8092,21141,7,118,7532,on-time,1,M,Eldoret,1
43,58311,37784,30,105,9026,late,0,F,Eldoret,1
20,27692,3837,7,32,2553,on-time,0,F,Eldoret,0
36,28862,40802,7,54,3116,early,1,M,Eldoret,1
37,95396,41077,60,6,6725,on-time,1,M,Eldoret,0
49,84507,15379,7,72,7504,on-time,1,M,Nyeri,1
24,85152,5239,60,132,4103,on-time,0,F,Mombasa,0
58,75469,45896,30,81,2413,on-time,1,F,Kisumu,1
50,9926,21812,7,28,4723,on-time,1,M,Kisumu,1
57,96299,30669,7,116,3263,on-time,1,M,Mombasa,0
56,8969,49624,14,123,7286,early,0,M,Eldoret,1
35,40733,10611,7,40,7115,early,0,F,Mombasa,0
57,74855,5150,14,6,7882,on-time,0,F,Eldoret,0
18,46743,12109,14,131,5314,on-time,0,M,Kisumu,0
28,44876,35214,14,109,8721,late,1,M,Nairobi,1
45,25323,27016,30,22,7038,on-time,1,M,Kisumu,1
42,21428,12936,60,12,3088,on-time,1,F,Kisumu,1
40,39578,12036,14,19,5256,early,0,F,Nairobi,0
48,91486,40236,7,149,5612,late,1,M,Mombasa,1
47,69140,15021,7,27,9888,on-time,1,F,Nyeri,0
59,88829,37943,14,97,2450,on-time,0,M,Eldoret,0
52,11364,49158,14,53,4088,early,1,M,Eldoret,1
24,40349,38848,7,68,2970,early,1,M,Kisumu,1
33,5691,16471,14,38,6587,on-time,1,F,Nairobi,1
43,71467,48661,60,22,3010,early,0,M,Kisumu,1
19,50896,24244,60,68,4713,early,1,M,Kisumu,0
18,62062,49777,30,110,2964,early,1,F,Mombasa,1
29,84762,39985,14,78,1117,early,1,M,Eldoret,0
22,18861,39440,30,106,4790,on-time,1,M,Nyeri,1
54,93302,2502,30,21,9624,on-time,0,M,Nairobi,0
49,68928,35178,30,145,8473,on-time,1,M,Nyeri,1
26,88231,4770,14,56,6859,on-time,1,F,Nairobi,0
58,46347,43865,30,68,2551,late,1,F,Eldoret,1
52,8121,5001,60,38,2052,late,0,M,Mombasa,1
36,88793,21946,30,99,4800,on-time,1,F,Nyeri,1
33,33164,1598,60,91,8554,on-time,1,F,Nairobi,0
20,30491,31316,60,106,6313,on-time,1,F,Kisumu,1
37,64222,26567,14,144,760,on-time,1,F,Eldoret,0
41,28165,27508,30,80,1415,on-time,1,F,Mombasa,1
50,8748,44744,14,23,7481,on-time,1,F,Kisumu,1
41,31553,40159,60,141,3019,on-time,1,F,Mombasa,1
28,65380,31276,7,78,2172,on-time,0,F,Nairobi,0
25,49331,24671,30,149,5542,late,0,M,Kisumu,1
53,44560,17450,14,54,2119,late,1,M,Mombasa,1
55,58865,15908,7,43,6725,on-time,1,M,Eldoret,1
57,51686,45358,30,142,915,on-time,1,M,Nyeri,1
37,80910,36518,30,16,4877,on-time,0,M,Nyeri,0
52,9675,32212,14,83,4834,late,0,M,Kisumu,1
42,71706,43684,7,19,3729,early,1,M,Eldoret,1
52,82986,7806,14,32,2853,on-time,1,M,Eldoret,0
42,81216,40197,30,136,6605,on-time,1,F,Mombasa,0
46,15068,41891,30,40,4785,on-time,1,M,Kisumu,1
35,59460,19015,60,123,301,on-time,0,M,Eldoret,0
35,51418,40220,30,69,1104,late,1,F,Mombasa,1
19,31206,18158,30,102,1412,early,1,F,Eldoret,1
52,5287,16456,7,51,2125,on-time,1,M,Kisumu,1
33,27337,28588,7,85,3233,late,0,M,Eldoret,1
58,25666,23491,60,43,4321,late,0,M,Eldoret,1
53,6161,25188,60,42,6292,on-time,1,F,Eldoret,1
50,95071,28079,60,48,3771,on-time,0,M,Nyeri,0
21,43751,5019,14,101,5041,late,0,F,Nairobi,1
50,87063,13419,14,128,1704,on-time,0,M,Kisumu,0
31,94389,34697,60,30,2002,on-time,1,F,Nyeri,0
38,19758,20396,14,101,4688,on-time,0,F,Nairobi,1
37,70780,40032,30,5,8260,early,1,F,Eldoret,1
25,8178,30892,60,57,2449,on-time,1,M,Eldoret,1
24,36831,8973,60,10,5159,on-time,1,M,Nyeri,1
20,7176,43465,14,41,8028,on-time,1,F,Mombasa,1
34,38654,22113,7,6,7220,early,1,F,Kisumu,1
50,31627,12136,60,127,4464,late,1,F,Nairobi,1
29,57550,20203,14,73,4819,on-time,0,M,Eldoret,0
39,49910,32285,14,17,6343,on-time,1,F,Kisumu,1
39,95417,24039,7,73,8181,late,1,M,Eldoret,1
47,63251,2184,60,70,9110,on-time,1,M,Eldoret,0
55,40422,23727,7,63,2777,on-time,1,F,Eldoret,1
55,16984,17911,30,72,647,on-time,1,F,Kisumu,1
25,94312,1916,7,63,8650,on-time,1,M,Nyeri,1
44,66386,4574,7,121,3461,on-time,1,M,Kisumu,0
44,88291,37087,14,14,2024,on-time,1,M,Kisumu,1
51,12135,18790,7,145,5343,on-time,1,F,Mombasa,1
38,5320,18625,30,134,4747,on-time,1,M,Mombasa,1
47,99171,6206,14,19,6781,on-time,1,M,Nyeri,0
50,26684,20517,30,50,2801,late,1,F,Mombasa,1
45,60913,38696,7,142,521,on-time,0,M,Nyeri,1
50,93774,17105,30,93,435,late,0,F,Eldoret,1
22,26889,36656,30,81,9818,on-time,0,F,Eldoret,1
36,53899,3690,7,140,156,on-time,0,F,Kisumu,0
21,15770,37859,7,114,4050,late,1,F,Eldoret,1
52,44321,47728,14,101,7155,late,0,F,Mombasa,1
34,90962,1690,14,49,3247,on-time,1,F,Nairobi,0
45,46777,26103,60,95,3637,late,0,F,Kisumu,1
47,51250,35263,14,118,6528,on-time,0,F,Nyeri,1
46,78034,12085,7,77,821,early,0,F,Eldoret,0
23,45130,26825,30,39,485,on-time,1,M,Kisumu,1
52,86931,11720,30,46,2917,late,1,F,Kisumu,1
58,54346,39641,14,137,7526,late,1,M,Kisumu,1
54,7537,38271,14,31,7215,early,1,M,Eldoret,1
41,89762,12720,7,36,359,on-time,1,F,Nyeri,1
46,20216,47732,30,140,4588,late,1,F,Kisumu,1
48,89149,1897,60,107,8891,on-time,0,F,Kisumu,0
52,8009,18094,60,89,7636,on-time,0,M,Kisumu,1
50,94904,37463,14,82,3355,on-time,0,F,Eldoret,0
38,34327,36454,60,147,9331,on-time,0,M,Mombasa,1
49,19209,24572,7,48,4148,on-time,0,M,Nyeri,1
40,53443,39546,60,36,9047,on-time,0,M,Kisumu,1
50,20029,16150,14,32,3257,on-time,1,F,Kisumu,1
20,72613,17799,7,81,576,early,1,F,Kisumu,0
35,84443,10663,30,22,5383,on-time,0,M,Eldoret,0
42,61997,37948,7,107,9891,on-time,1,M,Mombasa,1
59,67559,38030,14,74,2459,on-time,1,M,Kisumu,1
48,69892,28007,14,123,7505,on-time,0,M,Kisumu,0
20,75409,36283,60,143,8124,early,1,F,Eldoret,1
57,13635,26671,60,101,1361,late,0,F,Nyeri,1
41,38065,26385,30,140,6423,on-time,0,M,Nyeri,1
49,38783,12236,30,39,6037,on-time,1,M,Mombasa,1
39,39152,23024,14,73,1682,early,1,M,Nyeri,1
40,63741,47872,14,130,1598,early,0,F,Kisumu,1
19,56502,40384,14,103,9040,late,1,F,Eldoret,1
44,34092,18376,30,82,8822,on-time,1,M,Kisumu,1
59,22653,38138,14,115,2309,on-time,1,F,Kisumu,1
19,45469,19157,30,21,4163,early,1,F,Mombasa,0
43,91483,20945,14,144,7328,on-time,1,M,Nyeri,0
34,64754,37584,7,148,9400,late,1,F,Nyeri,1
57,34978,24017,7,8,5766,on-time,0,F,Nyeri,1
50,92592,2756,14,96,8781,on-time,1,F,Kisumu,0
26,99543,36141,7,79,8296,late,1,F,Eldoret,1
56,48169,3576,30,107,8367,on-time,0,F,Eldoret,0
46,53287,26467,60,28,5472,early,1,F,Kisumu,0
59,59745,37952,7,69,6250,on-time,1,M,Nairobi,1
43,10543,32205,60,121,572,early,0,M,Kisumu,1
52,61392,36165,7,86,9673,late,0,M,Nyeri,1
42,26067,13674,30,10,937,on-time,0,F,Kisumu,1
41,56033,44094,7,70,8894,late,1,F,Nairobi,1
30,50256,44314,7,71,1286,early,0,F,Kisumu,1
24,95633,23353,14,76,6561,on-time,0,M,Nyeri,0
53,74345,30849,60,99,1581,early,0,M,Mombasa,0
37,27191,5535,60,52,7799,on-time,1,F,Eldoret,1
18,91803,48367,30,74,7432,early,1,F,Nairobi,1
25,77742,42936,30,82,331,on-time,1,F,Mombasa,1
33,91593,18118,60,71,427,late,0,F,Eldoret,1
31,33992,1632,14,69,6481,early,1,F,Mombasa,0
29,86531,14280,14,67,5339,on-time,1,M,Kisumu,1
40,53803,15746,60,50,1049,late,1,M,Kisumu,1
32,68477,38036,7,77,7138,late,1,F,Eldoret,1
45,18210,20285,60,75,8148,on-time,0,M,Eldoret,1
51,88329,19047,7,114,2397,late,0,F,Kisumu,1
19,31270,49089,60,67,1407,on-time,0,M,Kisumu,1
49,67008,11207,7,45,8489,on-time,1,F,Eldoret,0
40,10197,6591,14,11,2879,late,1,F,Eldoret,1
39,12452,28757,60,141,7418,on-time,1,F,Eldoret,1
42,46486,17226,30,8,3436,late,1,F,Nyeri,1
39,19859,30732,7,93,5435,late,1,M,Nyeri,1
39,32236,28206,14,138,9630,on-time,0,F,Kisumu,1
59,36899,21256,30,86,9983,on-time,0,F,Nyeri,1
23,37083,34822,14,25,8507,on-time,1,F,Nairobi,1
32,72708,42340,7,147,7602,on-time,1,F,Kisumu,1
54,21663,47347,60,132,7626,early,1,M,Nairobi,1
50,98076,44351,14,109,1749,on-time,1,M,Mombasa,1
25,24053,41775,60,108,2962,late,0,M,Nairobi,1
22,16085,49671,60,72,8901,late,0,F,Mombasa,1
56,35564,10784,14,114,1017,on-time,1,M,Nairobi,1
21,94745,38029,14,70,8453,on-time,1,F,Mombasa,0
23,64095,36157,14,31,4237,on-time,1,M,Mombasa,1
49,74517,20937,60,64,7447,on-time,1,M,Kisumu,0
47,26153,47707,30,122,5549,late,0,F,Eldoret,1
52,10247,12219,7,48,5782,early,0,M,Eldoret,1
57,15553,10399,30,40,2911,on-time,1,F,Kisumu,1
33,25811,34312,60,23,3521,late,0,M,Mombasa,1
30,11135,28657,14,95,4315,late,1,F,Eldoret,1
59,10573,21047,14,49,9390,on-time,1,F,Eldoret,1
47,84267,36007,7,102,2821,early,1,F,Nairobi,0
36,12189,11559,7,23,8414,late,1,F,Nyeri,1
34,85077,21157,30,45,3353,on-time,1,M,Kisumu,0
36,48646,36395,30,30,888,on-time,1,F,Nyeri,1
45,81623,7618,7,32,356,on-time,0,M,Mombasa,0
43,58687,45891,60,68,4125,on-time,0,F,Nairobi,1
54,73312,7780,30,72,6056,early,1,F,Eldoret,0
43,32564,28050,14,84,6841,on-time,0,F,Nairobi,1
40,33835,9015,14,55,3754,early,1,F,Kisumu,0
26,66587,4130,60,106,7760,early,1,M,Mombasa,0
29,12697,29083,7,14,3351,on-time,0,M,Nairobi,1
18,85165,17480,30,104,5368,on-time,0,F,Nairobi,0
18,78922,48599,14,126,7276,on-time,0,M,Nairobi,1
51,22046,36476,7,68,7662,early,1,M,Eldoret,1
49,62823,39165,30,128,8899,late,1,F,Mombasa,1
42,78580,12528,60,23,4526,early,1,M,Eldoret,0
57,58370,6914,14,80,4027,on-time,0,F,Nairobi,0
18,14615,38136,60,66,5426,on-time,0,F,Eldoret,1
33,10060,12179,60,145,2252,late,0,M,Eldoret,1
56,81436,21472,60,29,8838,on-time,1,M,Kisumu,1
22,65519,13076,30,93,7988,early,0,F,Nyeri,0
39,76117,25783,60,96,5574,early,0,F,Nyeri,0
46,66158,47716,30,46,9974,on-time,0,F,Kisumu,1
20,39782,14824,30,121,588,on-time,1,M,Kisumu,0
29,90709,5299,60,43,1922,on-time,1,F,Eldoret,1
43,83533,47888,60,137,7860,early,1,F,Eldoret,1
33,63255,9118,7,85,5722,on-time,1,F,Mombasa,0
54,77684,11756,14,111,3221,on-time,1,F,Nyeri,0
39,61918,8953,7,115,3874,on-time,0,F,Eldoret,0
46,89284,38552,14,25,6546,early,0,M,Mombasa,0
31,84558,16185,14,54,3552,on-time,1,M,Nyeri,1
45,90549,42792,7,125,8941,on-time,0,M,Mombasa,0
22,86422,15674,7,138,8939,on-time,0,M,Mombasa,0
47,30256,45476,14,54,5581,on-time,0,M,Kisumu,1
22,35005,34927,14,119,8672,late,0,F,Nairobi,1
29,11638,1386,14,5,7933,on-time,0,M,Nairobi,0
33,42419,27617,30,34,7217,on-time,1,F,Nairobi,1
43,38377,8192,14,111,9491,on-time,0,M,Mombasa,0
43,48116,11745,60,52,4987,on-time,0,M,Eldoret,0
38,41634,31020,60,91,3090,early,0,F,Nairobi,1
56,87291,43678,60,133,9399,on-time,1,M,Eldoret,1
53,28382,22159,7,23,3547,early,1,M,Nyeri,1
50,61063,4409,7,50,321,late,0,F,Nairobi,1
47,27394,26745,7,134,7718,on-time,1,M,Mombasa,1
54,72789,46948,14,60,9731,early,0,M,Kisumu,1
40,5864,30455,60,149,6688,early,1,M,Mombasa,1
27,45222,39910,14,96,717,on-time,1,F,Eldoret,1
22,18666,39735,30,86,2670,on-time,1,M,Nyeri,1
53,25955,30166,30,83,6409,on-time,1,M,Mombasa,1
51,86845,40973,7,109,2855,on-time,0,F,Kisumu,0
48,74590,29072,30,31,2890,late,1,M,Kisumu,1
27,71471,49774,60,59,7926,on-time,0,F,Nyeri,1
36,93314,13109,30,64,3409,on-time,1,F,Nairobi,0
49,48298,46802,7,113,7252,late,0,F,Mombasa,1
18,68108,3484,14,124,4154,early,1,F,Mombasa,0
22,53924,35622,30,89,7156,early,0,M,Kisumu,1
21,21709,45399,60,90,7524,on-time,0,M,Eldoret,1
33,14726,3597,60,121,7781,on-time,1,F,Mombasa,1
41,65824,41597,60,112,6608,on-time,1,M,Kisumu,1
33,45542,41954,14,79,324,early,0,M,Eldoret,1
19,25245,4983,60,123,7239,late,0,M,Nairobi,1
45,39753,40452,7,149,8236,on-time,1,F,Nairobi,1
49,84788,44151,7,11,3450,on-time,0,M,Kisumu,1
44,26316,18040,60,79,3927,late,1,F,Kisumu,1
37,89698,45772,30,62,1503,on-time,1,F,Nairobi,1
41,20960,31554,60,20,4312,late,1,M,Kisumu,1
29,35791,28916,7,31,509,on-time,0,M,Nyeri,1
52,30216,45871,7,55,2016,late,1,F,Mombasa,1
50,37467,27372,7,79,4167,on-time,0,F,Nyeri,1
50,69427,40080,30,148,2959,late,0,F,Eldoret,1
54,67047,41706,30,91,7172,early,1,M,Kisumu,1
29,78290,43722,30,127,2151,on-time,0,F,Kisumu,1
20,52014,30048,7,80,3801,on-time,0,M,Eldoret,1
18,9078,20669,14,44,8314,early,1,M,Mombasa,1
